"名字";"国家";"联赛";"声望";"平均年龄";"收支结余";"转会预算";"转会余额";"工资预算";"状态";"TF";"YF";"JC";"球场容量";"平均上座";"评分";"潜力评分";"Unique ID"
"Sligo Rovers";"Ireland";"Premier Division";"3,854";"26.2";"1,407,760";"0";"0";"0";"职业";"12";"12";"10";"4,500";"2,555";"63.0%";"65.3%";"598"
"Slavia Sofia";"Bulgaria";"First League";"4,900";"22.0";"0";"0";"0";"0";"职业";"13";"13";"15";"25,556";"475";"24.8%";"27.7%";"356"
"Slavia Prague";"Czechia";"First Division";"6,691";"25.4";"51,408,990";"0";"0";"0";"职业";"17";"16";"17";"20,232";"14,860";"33.4%";"34.7%";"474"
"Slavia Mozyr";"Belarus";"Highest League";"4,250";"29.7";"38,520";"0";"0";"0";"职业";"6";"6";"10";"5,133";"2,300";"17.8%";"18.2%";"130,879"
"Slaven Belupo";"Croatia";"First League";"5,050";"27.7";"0";"0";"0";"0";"职业";"12";"10";"13";"3,134";"1,210";"19.2%";"19.8%";"106,749"
"?l?sk";"Poland";"PKO BP Ekstraklasa";"5,150";"26.0";"10,205,330";"0";"0";"0";"职业";"10";"10";"10";"42,771";"9,527";"25.1%";"26.8%";"1,300,885"
"SL16 FC";"Belgium";"Proximus League";"4,518";"20.1";"3,450";"0";"0";"38,800";"职业";"13";"15";"15";"29,388";"578";"63.2%";"69.0%";"2,000,173,154"
"Skra Cz?stochowa";"Poland";"Second Division";"3,550";"0.0";"30";"0";"0";"0";"职业";"4";"4";"4";"5,325";"250";"0.0%";"0.0%";"96,030,339"
"Sk?vde AIK";"Sweden";"First Division South";"3,700";"26.8";"111,420";"0";"0";"0";"职业";"9";"8";"7";"4,000";"898";"61.7%";"65.5%";"2,180"
"Skoruk";"Ukraine";"URD - Kyivska - D2";"2,900";"23.4";"0";"0";"0";"0";"职业";"4";"4";"4";"7,200";"479";"55.1%";"62.1%";"71,026,808"
"SKN St. P?lten";"Austria";"First Division";"5,250";"29.5";"0";"0";"0";"0";"职业";"15";"15";"14";"8,000";"1,098";"24.4%";"24.9%";"160"
"Skalica";"Slovakia";"First Division";"4,250";"0.0";"218,320";"0";"0";"0";"职业";"9";"7";"7";"3,000";"2,000";"0.0%";"0.0%";"63,025,380"
"Skala 1911 Stryi";"Ukraine";"Second League";"1,729";"0.0";"5,390";"0";"0";"0";"职业";"7";"7";"6";"6,000";"250";"0.0%";"0.0%";"2,000,088,118"
"SKA-2 Khabarovsk";"Russia";"Second Division B Group 4";"2,350";"20.5";"0";"0";"0";"0";"职业";"3";"2";"1";"15,200";"179";"27.4%";"32.7%";"2,000,177,313"
"SKA Rostov";"Russia";"Second Division B Group 1";"3,152";"27.0";"34,210";"0";"0";"0";"职业";"5";"3";"5";"500";"270";"57.8%";"60.7%";"130,537"
"SKA Khabarovsk";"Russia";"First Division";"4,536";"25.9";"-209,090";"141,450";"2,990";"63,290";"职业";"5";"5";"4";"15,200";"2,616";"63.6%";"67.6%";"130,561"
"SKA Brasil";"Brazil";"Lower Division";"617";"0.0";"2,100";"0";"0";"0";"职业";"9";"11";"11";"7,200";"900";"0.0%";"0.0%";"313,374"
"SK Windhoek";"Namibia";"Lower Divisions";"2,000";"0.0";"0";"0";"0";"0";"职业";"4";"2";"5";"4,000";"250";"0.0%";"0.0%";"12,014,067"
"SK Sturm Graz";"Austria";"Admiral Bundesliga";"6,851";"25.4";"43,524,680";"0";"0";"0";"职业";"15";"16";"15";"16,364";"10,528";"73.4%";"76.3%";"156"
"SK Rapid";"Austria";"Admiral Bundesliga";"6,650";"26.2";"38,311,980";"0";"0";"0";"职业";"17";"17";"17";"28,345";"15,055";"70.6%";"73.5%";"155"
"SK Austria Klagenfurt";"Austria";"Admiral Bundesliga";"6,200";"25.0";"5,089,890";"0";"0";"0";"职业";"13";"13";"10";"32,000";"5,057";"30.0%";"31.2%";"16,057,026"
"SK Artis Brno";"Czechia";"Second Division";"4,400";"20.0";"1,677,150";"0";"0";"0";"职业";"8";"9";"9";"2,000";"700";"6.2%";"6.8%";"5,652,987"
"SJZ Gongfu";"China";"First Division";"1,934";"25.9";"954,230";"193,060";"262,610";"18,960";"职业";"3";"3";"5";"30,000";"9,925";"55.4%";"59.6%";"2,000,183,928"
"SJZ Ever Bright";"China";"Jupiler Pro League";"4,100";"0.0";"861,030";"0";"0";"0";"职业";"7";"5";"4";"60,000";"17,489";"0.0%";"0.0%";"23,194,491"
"SJK";"Finland";"Premier League";"4,900";"27.0";"4,285,070";"0";"0";"0";"职业";"15";"13";"11";"5,876";"2,200";"18.5%";"19.7%";"33,007,394"
"Sivasspor";"Türkiye";"1. League";"5,489";"27.2";"5,773,400";"27,890";"11,747,400";"50,090";"职业";"14";"13";"10";"27,532";"2,514";"67.6%";"71.9%";"130,382"
"Sivas D?rt Eylül";"Türkiye";"2. League Red Group";"3,500";"27.4";"40,370";"0";"0";"0";"职业";"5";"6";"5";"5,000";"150";"27.6%";"29.6%";"70,054,556"
"?iroki Brijeg";"Bosnia & Herzegovina";"Premier League";"4,996";"26.3";"1,025,930";"0";"0";"0";"职业";"10";"10";"10";"10,000";"2,900";"17.5%";"18.9%";"652,649"
"Sioni";"Georgia";"National League 2";"4,150";"0.0";"0";"0";"0";"0";"职业";"6";"4";"8";"3,242";"1,200";"0.0%";"0.0%";"1,300,526"
"Sion";"Switzerland";"Super League";"5,600";"26.2";"4,266,790";"0";"0";"0";"职业";"12";"12";"17";"14,283";"6,609";"61.9%";"65.3%";"1,852"
"Siófok";"Hungary";"Division II";"4,250";"24.0";"0";"0";"0";"0";"职业";"5";"4";"4";"6,500";"350";"5.8%";"6.7%";"7,521,258"
"Sint-Truiden";"Belgium";"Jupiler Pro League";"5,765";"26.1";"3,197,700";"6,756,850";"1,164,270";"158,720";"职业";"14";"13";"14";"14,600";"8,460";"71.7%";"75.0%";"278"
"Sintrense";"Portugal";"PT Championship D";"3,749";"22.0";"0";"0";"0";"0";"职业";"12";"10";"10";"2,800";"800";"57.5%";"60.9%";"2,478"
"Sinop (MT)";"Brazil";"Lower Division";"950";"0.0";"0";"0";"0";"0";"职业";"3";"3";"5";"13,000";"600";"0.0%";"0.0%";"19,019,859"
"Simm-Bau";"Bosnia & Herzegovina";"First League FBiH";"3,500";"0.0";"24,450";"0";"0";"0";"职业";"4";"2";"3";"2,000";"250";"0.0%";"0.0%";"2,000,047,197"
"Simba";"Tanzania";"Premier Division";"5,250";"21.3";"4,564,140";"0";"0";"0";"职业";"14";"10";"10";"60,000";"20,000";"16.9%";"19.3%";"131,250"
"Silver Strikers";"Malawi";"Premier Division";"2,100";"0.0";"0";"0";"0";"0";"职业";"5";"5";"5";"1,000";"250";"0.0%";"0.0%";"5,340,918"
"Silkeborg IF";"Denmark";"3F Superliga";"5,450";"24.3";"3,653,700";"0";"0";"0";"职业";"12";"12";"13";"10,000";"5,300";"19.1%";"20.1%";"551"
"Silivrispor";"Türkiye";"3. League Group 2";"2,949";"0.0";"57,190";"0";"0";"0";"职业";"4";"4";"2";"4,500";"750";"0.0%";"0.0%";"70,018,774"
"Silifke Bld.";"Türkiye";"3. League Group 2";"2,050";"23.0";"57,100";"0";"0";"0";"职业";"9";"9";"5";"1,400";"400";"10.7%";"12.0%";"70,042,972"
"Sileks";"North Macedonia";"First League";"3,250";"0.0";"1,096,100";"0";"0";"0";"职业";"7";"6";"6";"2,800";"600";"0.0%";"0.0%";"1,237"
"Siirt ???";"Türkiye";"3. League Group 4";"2,798";"0.0";"18,490";"0";"0";"0";"职业";"2";"2";"2";"5,650";"150";"0.0%";"0.0%";"70,108,767"
"SII";"Brazil";"Lower Division";"1,373";"0.0";"0";"0";"0";"0";"职业";"7";"6";"5";"10,000";"2,523";"0.0%";"0.0%";"301,169"
"Sigma Olomouc";"Czechia";"First Division";"5,750";"0.0";"7,694,610";"0";"0";"0";"职业";"13";"14";"15";"12,464";"3,850";"0.0%";"0.0%";"473"
"Siderúrgica";"Brazil";"Jupiler Pro League";"250";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"1,000";"100";"0.0%";"0.0%";"309,762"
"Sichuan";"China";"Jupiler Pro League";"1";"0.0";"3,930";"0";"0";"0";"职业";"5";"6";"3";"40,834";"5,000";"0.0%";"0.0%";"415"
"Sibir";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"6";"8";"7";"12,500";"250";"0.0%";"0.0%";"58,001,661"
"?ibenik";"Croatia";"First League";"4,850";"29.5";"537,760";"0";"0";"0";"职业";"9";"9";"14";"5,500";"1,480";"24.6%";"24.9%";"442"
"Siarka";"Poland";"Third Division Group 4";"2,500";"0.0";"0";"0";"0";"0";"职业";"5";"4";"7";"3,770";"1,350";"0.0%";"0.0%";"1,300,887"
"Shukura";"Georgia";"National League 2";"3,900";"0.0";"0";"0";"0";"0";"职业";"5";"5";"6";"2,500";"400";"0.0%";"0.0%";"144,644"
"Shrewsbury Town";"England";"Sky Bet League Two";"4,434";"24.8";"2,019,850";"579,920";"552,860";"45,700";"职业";"12";"9";"10";"9,875";"6,630";"65.7%";"70.1%";"710"
"Sho'rtan";"Uzbekistan";"Pro League";"3,550";"28.0";"0";"0";"0";"0";"职业";"1";"3";"3";"7,000";"5,000";"5.6%";"5.9%";"7,900,602"
"Shooting Stars";"Nigeria";"Premier League";"4,300";"16.0";"17,800";"0";"0";"0";"职业";"8";"8";"10";"18,000";"7,000";"10.9%";"13.8%";"120,286"
"Shonan";"Japan";"J1 League";"5,284";"26.8";"22,363,700";"15,104,700";"14,950,720";"132,190";"职业";"13";"12";"9";"15,380";"10,519";"69.0%";"72.0%";"1,184"
"Shkupi";"North Macedonia";"First League";"4,278";"0.0";"2,352,140";"0";"0";"0";"职业";"7";"8";"7";"6,000";"800";"0.0%";"0.0%";"47,045,688"
"Shk?ndija";"North Macedonia";"First League";"4,400";"27.2";"6,870,090";"0";"0";"0";"职业";"9";"10";"9";"12,600";"800";"23.6%";"24.0%";"138,163"
"Shirak";"Armenia";"High League";"2,850";"0.0";"384,160";"0";"0";"0";"职业";"11";"15";"13";"2,844";"600";"0.0%";"0.0%";"103"
"Shinnik";"Russia";"First Division";"4,195";"25.2";"296,450";"13,580";"463,740";"31,540";"职业";"12";"8";"8";"22,984";"2,263";"61.9%";"66.9%";"130,510"
"Shimizu";"Japan";"J2 League";"4,912";"26.9";"6,156,930";"10,607,200";"10,607,200";"124,120";"职业";"14";"12";"12";"20,299";"14,410";"66.8%";"70.9%";"1,194"
"Shevardeni Tbilisi";"Georgia";"Jupiler Pro League";"2,850";"19.6";"0";"0";"0";"0";"职业";"1";"2";"2";"2,000";"250";"23.1%";"29.3%";"1,300,524"
"Sheriff Tiraspol";"Moldova";"Divizia Na?ional?";"4,998";"24.4";"4,157,020";"0";"0";"0";"职业";"17";"14";"12";"12,798";"1,100";"31.1%";"32.4%";"478,105"
"Shenzhen";"China";"First Division";"3,078";"22.0";"7,100,080";"119,680";"119,680";"34,050";"职业";"9";"5";"3";"40,000";"8,268";"52.1%";"54.9%";"115,942"
"Shelbourne";"Ireland";"Premier Division";"3,907";"25.2";"6,113,750";"0";"0";"0";"职业";"10";"9";"11";"9,680";"3,393";"63.5%";"66.8%";"597"
"Sheffield Utd";"England";"Sky Bet Championship";"6,112";"25.7";"83,562,900";"34,064,450";"70,578,820";"745,090";"职业";"16";"15";"13";"32,609";"28,598";"75.4%";"79.3%";"708"
"Sheff Wed";"England";"Sky Bet Championship";"5,641";"26.4";"2,199,440";"-652,690";"3,011,090";"252,250";"职业";"11";"9";"10";"39,812";"25,378";"71.8%";"75.9%";"709"
"Sharjah Brasil";"Brazil";"Lower Division";"300";"0.0";"0";"0";"0";"0";"职业";"7";"5";"5";"5,000";"100";"0.0%";"0.0%";"2,000,255,286"
"Sharjah";"U.A.E.";"Pro League";"6,197";"27.2";"8,452,420";"0";"0";"0";"职业";"13";"12";"12";"12,499";"916";"70.1%";"71.7%";"135,455"
"ShanX Longjin";"China";"Jupiler Pro League";"1,350";"0.0";"0";"0";"0";"0";"职业";"4";"1";"1";"60,000";"795";"0.0%";"0.0%";"2,000,063,906"
"Shanghai Team";"China";"Jupiler Pro League";"1,600";"0.0";"0";"0";"0";"0";"职业";"3";"1";"1";"0";"1,500";"0.0%";"0.0%";"5,628,784"
"Shandong";"China";"Super League";"5,190";"27.6";"14,050,570";"7,888,680";"7,730,590";"312,560";"职业";"15";"13";"8";"56,808";"30,545";"66.6%";"69.4%";"116,403"
"Shan Utd";"Myanmar";"National League";"2,550";"0.0";"285,760";"0";"0";"0";"职业";"5";"2";"2";"3,500";"5,000";"0.0%";"0.0%";"23,348,858"
"Shams Azar";"Iran";"Premier League";"3,500";"23.2";"123,990";"0";"0";"0";"职业";"4";"4";"3";"10,000";"250";"31.2%";"33.7%";"2,000,088,962"
"Shamrock Rovers";"Ireland";"Premier Division";"4,302";"28.1";"3,976,440";"0";"0";"0";"职业";"13";"13";"13";"10,000";"6,109";"66.1%";"68.3%";"596"
"Sham Shui Po";"Hong Kong (China PR)";"Premier League";"1,600";"0.0";"125,590";"0";"0";"0";"职业";"2";"2";"2";"2,194";"751";"0.0%";"0.0%";"7,400,961"
"Shakhter Soligorsk";"Belarus";"Highest League";"4,500";"33.0";"792,640";"0";"0";"0";"职业";"14";"14";"12";"4,200";"1,562";"11.3%";"11.4%";"1,300,125"
"Shakhtar";"Ukraine";"Premier League";"6,533";"23.2";"77,857,120";"39,040,960";"51,396,090";"386,110";"职业";"18";"18";"16";"33,400";"13,402";"75.1%";"78.3%";"1,895"
"Shahter-Iunost'";"Kazakhstan";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"0";"250";"0.0%";"0.0%";"59,007,587"
"Shahter-2 Qaragandy";"Kazakhstan";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"1";"1";"1";"0";"250";"0.0%";"0.0%";"59,094,504"
"Shahter Q.";"Kazakhstan";"Kazakhstan First League";"4,700";"30.0";"0";"0";"0";"0";"职业";"9";"12";"9";"19,500";"2,400";"17.1%";"17.6%";"484,477"
"Shahin Bushehr";"Iran";"Second Division B";"3,250";"27.7";"241,100";"0";"0";"0";"职业";"5";"6";"8";"20,000";"1,500";"16.0%";"17.9%";"1,023,401"
"Shabab Sahel";"Lebanon";"Premier League";"2,950";"34.0";"355,130";"0";"0";"0";"职业";"6";"5";"6";"18,000";"150";"5.6%";"5.6%";"5,623,956"
"Shabab Ordon";"Jordan";"Pro-League";"3,628";"0.0";"1,187,780";"0";"0";"0";"职业";"10";"11";"11";"25,000";"3,500";"0.0%";"0.0%";"23,159,203"
"Shabab Hussein";"Jordan";"Second Division Group A";"1,600";"42.0";"41,930";"0";"0";"0";"职业";"4";"4";"5";"25,000";"800";"4.6%";"4.6%";"135,318"
"Shabab Dhahrieh";"Palestine";"West Bank Premier";"2,850";"0.0";"0";"0";"0";"0";"职业";"3";"3";"2";"18,000";"2,500";"0.0%";"0.0%";"5,623,531"
"Shabab Club";"Bahrain";"Premier League";"3,050";"29.7";"827,450";"0";"0";"0";"职业";"8";"5";"6";"10,000";"250";"34.5%";"36.3%";"5,626,088"
"Shabab Aqaba";"Jordan";"Pro-League";"2,750";"0.0";"380,550";"0";"0";"0";"职业";"5";"4";"4";"2,000";"250";"0.0%";"0.0%";"5,635,327"
"Shabab Alsamu";"Palestine";"West Bank Premier";"2,250";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"3,375";"250";"0.0%";"0.0%";"42,107,380"
"Shabab Al-Khalil";"Palestine";"West Bank Premier";"2,700";"38.0";"20,010";"0";"0";"0";"职业";"5";"5";"4";"4,000";"2,500";"4.8%";"4.8%";"5,623,528"
"Shabab Al-Am'ary";"Palestine";"West Bank First League";"1,950";"0.0";"0";"0";"0";"0";"职业";"4";"2";"2";"12,500";"2,500";"0.0%";"0.0%";"23,091,022"
"Shabab Al-Ahli";"U.A.E.";"Pro League";"6,398";"26.8";"43,012,160";"17,528,620";"31,853,250";"765,000";"职业";"14";"12";"9";"12,000";"3,174";"71.3%";"74.3%";"23,418,694"
"Shabaab Al-Jabal";"Libya";"Libyan Second Division";"2,450";"0.0";"188,910";"0";"0";"0";"职业";"4";"3";"3";"2,500";"250";"0.0%";"0.0%";"13,186,834"
"ShaaX Union";"China";"Shaanxi";"1,750";"28.0";"0";"0";"0";"0";"职业";"2";"1";"1";"32,000";"4,000";"11.3%";"12.1%";"2,000,290,298"
"Shaanxi";"China";"Jupiler Pro League";"1,500";"0.0";"34,620";"0";"0";"0";"职业";"4";"8";"4";"22,000";"250";"0.0%";"0.0%";"130,808"
"ShaanX Shan'an";"China";"Amateur League";"250";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"0";"250";"0.0%";"0.0%";"2,000,290,304"
"ShaanX Chang'an";"China";"Jupiler Pro League";"3,100";"0.0";"0";"0";"0";"0";"职业";"6";"2";"2";"32,000";"20,377";"0.0%";"0.0%";"23,359,918"
"SH Zobon";"China";"Jupiler Pro League";"1,900";"0.0";"33,560";"0";"0";"0";"职业";"6";"5";"4";"30,000";"196";"0.0%";"0.0%";"1,032,154"
"SH Yuyuan";"China";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"0";"250";"0.0%";"0.0%";"5,628,465"
"SH Utd.";"China";"Jupiler Pro League";"3,600";"0.0";"1,335,470";"0";"0";"0";"职业";"7";"6";"6";"20,000";"2,193";"0.0%";"0.0%";"1,008,824"
"SH Sunfun";"China";"Jupiler Pro League";"1,250";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"1,500";"800";"0.0%";"0.0%";"23,385,905"
"SH Shenxin";"China";"Jupiler Pro League";"3,600";"0.0";"0";"0";"0";"0";"职业";"6";"5";"5";"30,000";"1,820";"0.0%";"0.0%";"23,176,734"
"SH Shenhua";"China";"Super League";"4,873";"28.5";"21,145,340";"8,655,650";"8,960,380";"280,280";"职业";"13";"7";"6";"56,842";"28,819";"65.3%";"68.8%";"414"
"SH Pudong";"China";"Jupiler Pro League";"2,500";"0.0";"7,058,820";"0";"0";"0";"职业";"8";"6";"6";"0";"250";"0.0%";"0.0%";"131,200"
"SH Port";"China";"Super League";"4,952";"25.7";"114,230,290";"52,736,840";"53,013,960";"168,530";"职业";"14";"11";"6";"33,765";"14,750";"62.3%";"64.8%";"23,292,170"
"SH JD Huilong";"China";"First Division";"1,411";"25.9";"885,210";"139,900";"139,900";"11,460";"职业";"3";"3";"3";"12,400";"200";"53.8%";"56.9%";"23,366,052"
"SH Dongya";"China";"Jupiler Pro League";"4,400";"0.0";"562,900";"0";"0";"0";"职业";"6";"8";"9";"56,842";"12,460";"0.0%";"0.0%";"23,003,359"
"SH Dashun";"China";"Jupiler Pro League";"450";"0.0";"0";"0";"0";"0";"职业";"3";"2";"1";"0";"250";"0.0%";"0.0%";"131,139"
"SH COSCO";"China";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"8";"6";"6";"0";"18,786";"0.0%";"0.0%";"136,624"
"Sf?ntul Gheorghe";"Moldova";"Jupiler Pro League";"3,950";"0.0";"0";"0";"0";"0";"职业";"11";"3";"11";"10,500";"350";"0.0%";"0.0%";"59,013,324"
"Sfax Railways";"Tunisia";"Ligue 2C";"2,100";"21.0";"0";"0";"0";"0";"职业";"4";"2";"8";"2,000";"1,000";"4.6%";"4.9%";"12,019,357"
"SF Deltas";"U.S.A.";"Jupiler Pro League";"4,000";"0.0";"0";"0";"0";"0";"职业";"7";"4";"4";"10,000";"2,500";"0.0%";"0.0%";"20,044,627"
"Séwé Sport";"Ivory Coast";"Ivorian Ligue 2 - B";"2,750";"21.0";"17,930";"0";"0";"0";"职业";"8";"5";"8";"8,000";"250";"4.9%";"5.4%";"8,632,448"
"Sevilla C";"Spain";"Spanish Federation 2 Gr 4";"3,250";"19.7";"0";"0";"0";"0";"职业";"1";"1";"1";"5,000";"250";"58.2%";"63.4%";"67,035,569"
"Sevilla B";"Spain";"Spanish Federation 1B";"5,000";"21.4";"0";"0";"0";"0";"职业";"1";"1";"1";"5,000";"1,000";"63.5%";"70.2%";"4,202,262"
"Sevilla";"Spain";"La Liga";"7,853";"25.1";"74,793,210";"13,758,860";"30,472,200";"735,500";"职业";"19";"18";"17";"43,883";"40,247";"77.5%";"81.4%";"1,759"
"Severstal";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"11,500";"250";"0.0%";"0.0%";"130,521"
"Sevastopol";"Crimea";"Crimean Lower Division";"200";"0.0";"1,106,890";"0";"0";"0";"职业";"8";"10";"5";"5,711";"5,620";"0.0%";"0.0%";"5,312,710"
"Sete de Setembro";"Brazil";"Lower Division";"800";"0.0";"0";"0";"0";"0";"职业";"5";"5";"6";"6,356";"700";"0.0%";"0.0%";"311,970"
"Sete de Junho";"Brazil";"Lower Division";"550";"0.0";"0";"0";"0";"0";"职业";"4";"2";"3";"7,000";"500";"0.0%";"0.0%";"19,123,700"
"Sete de Dourados";"Brazil";"Jupiler Pro League";"700";"0.0";"0";"0";"0";"0";"职业";"3";"2";"3";"30,000";"685";"0.0%";"0.0%";"19,006,929"
"Sesvete";"Croatia";"Second League";"3,500";"0.0";"70,620";"0";"0";"0";"职业";"12";"8";"12";"1,200";"350";"0.0%";"0.0%";"24,014,012"
"Sestri Levante";"Italy";"Serie C/B";"3,700";"25.6";"83,880";"0";"0";"0";"职业";"8";"4";"3";"1,500";"184";"62.3%";"65.9%";"1,413,262"
"Sestao";"Spain";"Spanish Federation 1A";"4,100";"27.4";"2,817,220";"257,730";"710";"74,140";"职业";"9";"9";"9";"8,900";"1,900";"65.4%";"69.7%";"6,706,369"
"SESP Taquatinga";"Brazil";"Lower Division";"700";"0.0";"0";"0";"0";"0";"职业";"3";"2";"3";"3,000";"600";"0.0%";"0.0%";"319,129"
"Servette";"Switzerland";"Super League";"6,199";"27.9";"15,466,890";"0";"0";"0";"职业";"12";"16";"16";"30,084";"7,477";"70.3%";"72.9%";"1,858"
"Sert?ozinho";"Brazil";"Lower Division";"1,275";"0.0";"0";"0";"0";"0";"职业";"9";"4";"7";"10,000";"900";"0.0%";"0.0%";"316,781"
"Serrano (RJ)";"Brazil";"Lower Division";"1,400";"0.0";"1,170";"0";"0";"0";"职业";"4";"3";"3";"8,500";"500";"0.0%";"0.0%";"301,255"
"Serrano (PE)";"Brazil";"Lower Division";"600";"0.0";"0";"0";"0";"0";"职业";"8";"3";"6";"5,000";"1,645";"0.0%";"0.0%";"8,832,352"
"Serrano (PB)";"Brazil";"Lower Division";"550";"0.0";"0";"0";"0";"0";"职业";"5";"3";"4";"1,000";"450";"0.0%";"0.0%";"313,295"
"Serranense";"Brazil";"Lower Division";"750";"0.0";"0";"0";"0";"0";"职业";"6";"6";"5";"10,000";"200";"0.0%";"0.0%";"19,249,224"
"Serra Talhada";"Brazil";"Jupiler Pro League";"650";"0.0";"0";"0";"0";"0";"职业";"3";"4";"4";"5,000";"200";"0.0%";"0.0%";"19,164,161"
"Serra Macaense";"Brazil";"Lower Division";"800";"0.0";"0";"0";"0";"0";"职业";"5";"7";"6";"15,000";"870";"0.0%";"0.0%";"311,973"
"Serra Branca";"Brazil";"Lower Division";"591";"30.6";"36,660";"0";"0";"0";"职业";"3";"4";"4";"35,000";"90";"38.8%";"39.9%";"2,000,199,920"
"Serra";"Brazil";"Lower Division";"1,064";"20.1";"7,980";"0";"0";"0";"职业";"10";"8";"7";"2,000";"2,850";"37.2%";"44.4%";"301,144"
"Serik Bld.";"Türkiye";"2. League Red Group";"3,650";"25.5";"173,840";"0";"0";"0";"职业";"5";"6";"5";"3,500";"450";"61.1%";"65.1%";"70,081,029"
"Sergipe";"Brazil";"Fourth Division";"3,486";"27.9";"933,640";"0";"0";"0";"职业";"9";"6";"7";"15,575";"4,500";"62.8%";"66.8%";"301,321"
"Sered";"Slovakia";"Lower Division";"2,750";"0.0";"0";"0";"0";"0";"职业";"9";"5";"8";"3,500";"500";"0.0%";"0.0%";"63,023,681"
"SERC";"Brazil";"Lower Division";"1,000";"0.0";"0";"0";"0";"0";"职业";"7";"4";"6";"5,000";"896";"0.0%";"0.0%";"313,900"
"Septemvri Sofia";"Bulgaria";"First League";"4,450";"28.0";"139,160";"0";"0";"0";"职业";"13";"13";"15";"2,000";"350";"17.7%";"18.3%";"116,384"
"Sepsi OSK";"Romania";"First League";"5,400";"29.0";"712,560";"0";"0";"0";"职业";"11";"13";"14";"8,400";"3,613";"55.4%";"57.5%";"57,110,237"
"Sepahan";"Iran";"Premier League";"6,000";"28.6";"10,504,700";"0";"0";"0";"职业";"14";"13";"13";"75,000";"15,000";"69.6%";"70.9%";"5,512,191"
"Seoul E-Land";"South Korea";"K LEAGUE 2";"3,759";"26.3";"526,330";"861,240";"867,460";"34,770";"职业";"8";"7";"8";"30,000";"1,637";"63.0%";"67.0%";"66,034,891"
"Seoul";"South Korea";"K LEAGUE 1";"5,535";"27.8";"7,938,940";"2,431,210";"2,594,930";"150,340";"职业";"13";"11";"14";"66,704";"15,226";"69.4%";"72.1%";"130,777"
"Seongnam";"South Korea";"K LEAGUE 1";"4,854";"27.8";"-1,123,550";"513,920";"513,920";"41,360";"职业";"10";"11";"11";"16,146";"6,352";"65.0%";"67.9%";"200,373"
"Senica";"Slovakia";"Jupiler Pro League";"4,500";"0.0";"175,890";"0";"0";"0";"职业";"13";"13";"14";"4,500";"1,000";"0.0%";"0.0%";"7,560,706"
"Sendai";"Japan";"J2 League";"4,179";"25.9";"8,602,340";"8,319,460";"8,319,460";"55,760";"职业";"14";"12";"12";"19,694";"11,188";"63.7%";"68.4%";"107,283"
"Senati";"Peru";"Copa Peru";"500";"0.0";"14,830";"0";"0";"0";"职业";"2";"1";"1";"20,000";"250";"0.0%";"0.0%";"77,001,503"
"Semen Padang";"Indonesia";"League Two";"2,800";"0.0";"274,220";"0";"0";"0";"职业";"5";"5";"10";"20,000";"5,264";"0.0%";"0.0%";"135,534"
"Selangor 2";"Malaysia";"Jupiler Pro League";"1,300";"0.0";"193,340";"0";"0";"0";"职业";"5";"3";"6";"16,000";"320";"0.0%";"0.0%";"23,500,745"
"Selangor";"Malaysia";"Super League";"3,098";"28.0";"1,546,210";"0";"0";"0";"职业";"9";"6";"5";"25,000";"7,975";"12.5%";"13.1%";"106,694"
"Sekhukhune Utd";"South Africa";"South African Premiership";"5,278";"30.0";"998,260";"0";"0";"0";"职业";"9";"8";"9";"10,000";"2,500";"5.5%";"5.8%";"2,000,034,502"
"Segoviana";"Spain";"Spanish Federation 2 Gr 5";"3,600";"27.1";"0";"0";"0";"0";"职业";"10";"10";"11";"2,000";"1,200";"60.3%";"63.8%";"4,212,400"
"Security Systems";"Botswana";"Premier Division";"2,500";"0.0";"0";"0";"0";"0";"职业";"7";"6";"6";"2,000";"250";"0.0%";"0.0%";"13,186,807"
"Sebat Gen?lik";"Türkiye";"3. League Group 4";"2,050";"34.0";"110,630";"0";"0";"0";"职业";"8";"4";"2";"1,820";"500";"6.0%";"6.0%";"70,136,214"
"Seattle Sounders (USL)";"U.S.A.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"10";"6";"2";"68,740";"4,149";"0.0%";"0.0%";"2,315"
"Seattle 2";"U.S.A.";"Jupiler Pro League";"3,500";"0.0";"0";"0";"0";"0";"职业";"1";"3";"3";"6,500";"3,400";"0.0%";"0.0%";"72,043,489"
"Seattle (NASL)";"U.S.A.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"18";"13";"8";"0";"24,246";"0.0%";"0.0%";"20,033,765"
