name,age,nationality,club,league,position,overall,potential,value,wage,height,weight,preferred_foot,pace,shooting,passing,dribbling,defending,physical
Leonardo Rossi,30,Italy,Luton Town,Premier League,CM,50,46,5500000,1000,176,66,Right,43,37,64,44,52,65
Adam Janssens,32,Belgium,Luton Town,Premier League,CAM,53,56,4770000,1000,179,80,Right,50,63,62,56,46,48
Raphaël Bernard,25,France,Luton Town,Premier League,CAM,49,56,6370000,1000,182,78,Left,52,47,49,58,31,49
Gabriele Ferrari,31,Italy,Luton Town,Premier League,LM,63,61,6300000,1000,174,74,Left,61,67,66,61,44,50
Mateo Pérez,21,Spain,Luton Town,Premier League,RM,63,62,8149050,1000,170,59,Right,70,61,62,68,55,66
Charlie Wilson,26,England,Luton Town,Premier League,LW,60,57,7800000,1000,177,64,Right,70,53,68,72,41,60
Adam Martin,30,France,Luton Town,Premier League,RW,50,56,5500000,1000,180,69,Right,54,60,46,50,37,41
Felipe López,32,Argentina,Luton Town,Premier League,CF,60,58,5400000,1000,188,85,Right,57,70,64,61,34,51
Leonardo Esposito,27,Italy,Luton Town,Premier League,ST,60,57,7800000,1000,190,85,Right,72,75,64,55,31,60
George Smith,26,England,Luton Town,Premier League,ST,51,52,6630000,1000,190,90,Right,63,45,59,53,23,42
Elias Müller,27,Germany,Luton Town,Premier League,ST,49,51,6370000,1000,189,79,Left,49,59,40,53,22,53
Adam Janssens,24,Belgium,Nottingham Forest,Premier League,GK,55,65,7150000,1000,192,79,Left,43,35,52,45,48,49
Heitor Silva,32,Brazil,Nottingham Forest,Premier League,GK,57,62,5130000,1000,187,76,Right,36,40,47,48,64,52
Santiago Silva,23,Portugal,Nottingham Forest,Premier League,CB,55,70,7150000,1000,192,89,Left,45,45,47,40,50,55
Mateo Sánchez,32,Spain,Nottingham Forest,Premier League,CB,67,66,6030000,1000,186,76,Right,65,58,71,65,69,67
Arthur Maes,32,Belgium,Nottingham Forest,Premier League,CB,67,81,6030000,1000,184,79,Right,70,42,74,59,68,65
Daan Jansen,34,Netherlands,Nottingham Forest,Premier League,CB,68,70,4760000,1000,190,82,Right,59,49,61,57,78,78
Ben Müller,21,Germany,Nottingham Forest,Premier League,LB,63,67,8353800,1000,176,76,Right,63,57,67,49,61,59
Lucas Van den Berg,33,Netherlands,Nottingham Forest,Premier League,LB,52,62,4160000,1000,173,62,Left,56,45,60,47,60,53
Heitor Santos,26,Brazil,Nottingham Forest,Premier League,RB,59,57,7670000,1000,177,77,Left,61,41,51,59,72,69
Thomas Williams,24,England,Nottingham Forest,Premier League,RB,66,66,8580000,1000,182,79,Left,70,47,76,62,69,67
Gael Silva,32,Brazil,Nottingham Forest,Premier League,CDM,53,56,4770000,1000,185,74,Right,57,51,53,53,50,57
Adam Maes,30,Belgium,Nottingham Forest,Premier League,CDM,59,56,6490000,1000,189,90,Left,64,58,62,49,62,61
Andrea Colombo,30,Italy,Nottingham Forest,Premier League,CM,59,72,6490000,1000,174,61,Right,50,45,69,65,50,67
James Van der Meer,33,Netherlands,Nottingham Forest,Premier League,CM,55,64,4400000,1000,185,78,Left,45,53,56,49,56,59
Francesco Rossi,28,Italy,Nottingham Forest,Premier League,CM,61,61,7930000,1000,184,70,Right,65,50,68,56,62,76
Afonso Santos,27,Portugal,Nottingham Forest,Premier League,CAM,62,73,8060000,1000,171,67,Right,65,71,74,75,48,49
Lucas Peeters,29,Belgium,Nottingham Forest,Premier League,CAM,63,59,7560000,1000,173,72,Right,72,72,59,69,54,53
Daan Van Dijk,23,Netherlands,Nottingham Forest,Premier League,LM,62,64,8060000,1000,173,75,Right,63,59,67,68,50,63
Bruno González,22,Argentina,Nottingham Forest,Premier League,RM,63,69,8435700,1000,184,85,Right,61,68,75,75,52,62
Lucas Janssens,23,Belgium,Nottingham Forest,Premier League,LW,66,63,8580000,1000,172,71,Left,70,58,59,66,44,59
Elias Schneider,23,Germany,Nottingham Forest,Premier League,RW,68,83,8840000,1000,170,67,Right,80,62,73,74,51,72
Harry Brown,22,England,Nottingham Forest,Premier League,CF,52,54,6827600,1000,191,86,Right,65,52,62,67,32,57
Victor Goossens,24,Belgium,Nottingham Forest,Premier League,ST,56,60,7280000,1000,180,75,Left,66,57,55,52,30,57
Arthur Dubois,29,France,Nottingham Forest,Premier League,ST,57,69,6840000,1000,182,73,Left,56,52,54,55,28,57
Adam Goossens,24,Belgium,Nottingham Forest,Premier League,ST,63,63,8190000,1000,181,68,Right,68,64,57,69,47,70
Jonas Schmidt,23,Germany,Bournemouth,Premier League,GK,64,74,8320000,1000,189,89,Right,43,34,66,54,74,63
Rodrigo Ferreira,35,Portugal,Bournemouth,Premier League,GK,66,71,3960000,1000,188,89,Left,45,39,60,46,68,63
Martim Santos,26,Portugal,Bournemouth,Premier League,CB,53,67,6890000,1000,193,84,Right,59,35,51,44,48,50
Noud De Vries,29,Netherlands,Bournemouth,Premier League,CB,64,65,7680000,1000,190,86,Right,73,55,55,60,71,63
Noah Pérez,26,Argentina,Bournemouth,Premier League,CB,52,56,6760000,1000,188,85,Right,56,44,44,43,61,60
Rodrigo Ferreira,33,Portugal,Bournemouth,Premier League,CB,65,73,5200000,1000,185,73,Left,61,49,70,66,70,62
Jules Janssens,21,Belgium,Bournemouth,Premier League,LB,65,80,9083750,1000,178,78,Left,72,54,73,54,66,65
Bruno García,21,Argentina,Bournemouth,Premier League,LB,61,74,8445450,1000,179,81,Right,65,43,51,46,60,64
Arthur Bernard,31,France,Bournemouth,Premier League,RB,61,69,6100000,1000,175,77,Right,71,43,51,49,64,71
Daniel Pérez,30,Spain,Bournemouth,Premier League,RB,65,68,7150000,1000,185,74,Right,71,58,55,58,65,61
Felix Becker,32,Germany,Bournemouth,Premier League,CDM,56,62,5040000,1000,185,72,Right,57,54,71,57,47,60
Léo Thomas,33,France,Bournemouth,Premier League,CDM,57,55,4560000,1000,192,82,Right,57,52,61,55,58,55
Milan Van den Berg,21,Netherlands,Bournemouth,Premier League,CM,56,67,7680400,1000,179,77,Right,59,51,56,49,52,55
Levi Van Dijk,33,Netherlands,Bournemouth,Premier League,CM,68,80,5440000,1000,173,73,Right,60,56,67,58,73,74
Jules Dubois,34,France,Bournemouth,Premier League,CM,66,80,4620000,1000,180,72,Right,65,51,64,63,60,65
Mattia Ferrari,24,Italy,Bournemouth,Premier League,CAM,56,53,7280000,1000,183,72,Left,51,61,64,52,42,44
James Wilson,22,England,Bournemouth,Premier League,CAM,60,56,7644000,1000,172,68,Right,55,53,58,74,46,63
Alessandro Romano,21,Italy,Bournemouth,Premier League,LM,54,53,6984900,1000,178,76,Right,54,60,68,56,36,42
Arthur Jacobs,32,Belgium,Bournemouth,Premier League,RM,58,62,5220000,1000,175,62,Right,56,54,69,68,49,61
Elias Schmidt,22,Germany,Bournemouth,Premier League,LW,63,70,8476650,1000,183,75,Right,65,66,56,68,36,67
Lucas Pérez,32,Spain,Bournemouth,Premier League,RW,63,67,5670000,1000,171,60,Right,73,56,65,67,47,72
Arthur Thomas,29,France,Bournemouth,Premier League,CF,65,69,7800000,1000,191,89,Left,62,80,70,71,40,55
Lourenço Martins,27,Portugal,Bournemouth,Premier League,ST,68,65,8840000,1000,179,70,Right,75,80,76,66,43,60
Heitor Ferreira,23,Brazil,Bournemouth,Premier League,ST,64,62,8320000,1000,181,80,Right,74,62,72,77,42,74
Noah García,30,Argentina,Bournemouth,Premier League,ST,64,74,7040000,1000,186,80,Left,73,57,57,67,49,69
Alessandro Rossi,24,Italy,Real Madrid,La Liga,GK,75,72,9750000,1000,200,85,Left,62,55,64,64,84,68
Pablo Pérez,26,Spain,Real Madrid,La Liga,GK,83,93,10790000,1000,200,93,Right,68,53,69,76,76,85
Martim Martins,28,Portugal,Real Madrid,La Liga,CB,88,84,11440000,1000,183,74,Right,87,68,93,86,87,92
Thiago Rodríguez,30,Argentina,Real Madrid,La Liga,CB,89,99,9790000,1000,193,93,Right,96,69,95,75,96,92
Dinis Pereira,33,Portugal,Real Madrid,La Liga,CB,83,88,6640000,1000,183,69,Right,74,62,84,79,96,78
Pedro Santos,27,Brazil,Real Madrid,La Liga,CB,85,91,11050000,1000,189,86,Left,82,67,82,90,89,82
Mateo Rodríguez,26,Spain,Real Madrid,La Liga,LB,79,74,10270000,1000,180,68,Right,82,72,85,77,82,74
Afonso Pereira,27,Portugal,Real Madrid,La Liga,LB,86,91,11180000,1000,173,75,Left,82,71,91,87,91,86
Liam Willems,27,Belgium,Real Madrid,La Liga,RB,80,90,10400000,1000,172,65,Right,78,56,79,83,87,82
Noah Janssens,30,Belgium,Real Madrid,La Liga,RB,84,87,9240000,1000,172,74,Right,80,70,76,89,88,88
Noah Fernández,27,Argentina,Real Madrid,La Liga,CDM,86,89,11180000,1000,192,91,Right,81,71,101,92,81,99
Santiago Rodrigues,25,Portugal,Real Madrid,La Liga,CDM,87,99,11310000,1000,194,80,Right,83,83,96,81,84,86
Adam Petit,26,France,Real Madrid,La Liga,CM,76,91,9880000,1000,176,76,Right,75,81,76,74,85,78
Felipe Rodríguez,23,Argentina,Real Madrid,La Liga,CM,80,75,10400000,1000,177,73,Right,85,82,88,83,90,76
Alessandro Bianchi,23,Italy,Real Madrid,La Liga,CM,74,77,9620000,1000,178,70,Right,65,74,69,65,66,79
Liam Janssens,27,Belgium,Real Madrid,La Liga,CAM,85,82,11050000,1000,182,72,Left,83,93,96,83,73,85
Leo Rodríguez,33,Spain,Real Madrid,La Liga,CAM,84,89,6720000,1000,182,75,Right,85,78,82,84,70,77
Dinis Oliveira,34,Portugal,Real Madrid,La Liga,LM,75,85,5250000,1000,181,70,Right,83,80,77,78,59,71
Martim Oliveira,21,Portugal,Real Madrid,La Liga,RM,75,71,9555000,1000,177,72,Right,82,74,90,81,58,77
Riccardo Colombo,20,Italy,Real Madrid,La Liga,LW,86,89,10474800,1000,179,68,Left,90,82,81,95,76,86
Mateo López,21,Argentina,Real Madrid,La Liga,RW,89,99,12148500,1000,183,79,Right,97,82,84,92,75,81
Pedro Ferreira,28,Brazil,Real Madrid,La Liga,CF,74,70,9620000,1000,188,79,Right,83,89,84,73,44,76
Mattia Romano,29,Italy,Real Madrid,La Liga,ST,76,74,9120000,1000,180,74,Right,91,90,70,90,59,76
Tomás Ferreira,24,Portugal,Real Madrid,La Liga,ST,79,92,10270000,1000,191,86,Right,80,71,82,85,54,81
Felipe González,20,Argentina,Real Madrid,La Liga,ST,81,78,9574200,1000,185,77,Right,81,72,83,95,64,90
Raphaël Bernard,28,France,Barcelona,La Liga,GK,79,92,10270000,1000,188,74,Right,67,63,79,62,76,75
Mattia Bianchi,34,Italy,Barcelona,La Liga,GK,89,96,6230000,1000,189,88,Left,70,68,80,82,84,92
Max Weber,25,Germany,Barcelona,La Liga,CB,81,95,10530000,1000,190,83,Right,89,76,85,68,76,91
Felix Wagner,31,Germany,Barcelona,La Liga,CB,80,87,8000000,1000,194,92,Right,89,63,72,68,92,76
George Brown,28,England,Barcelona,La Liga,CB,85,99,11050000,1000,193,79,Left,83,76,94,82,89,92
Gael Silva,30,Brazil,Barcelona,La Liga,CB,79,82,8690000,1000,185,86,Right,83,58,71,74,90,87
Jonas Schmidt,26,Germany,Barcelona,La Liga,LB,75,74,9750000,1000,185,79,Right,76,63,74,68,89,78
Milan Smit,23,Netherlands,Barcelona,La Liga,LB,84,94,10920000,1000,174,75,Left,80,63,75,76,84,80
Rodrigo Ferreira,32,Portugal,Barcelona,La Liga,RB,88,96,7920000,1000,173,75,Left,92,74,95,88,97,98
Lucas Rodríguez,26,Spain,Barcelona,La Liga,RB,76,77,9880000,1000,179,71,Left,82,59,84,79,77,71
Lucas Smit,22,Netherlands,Barcelona,La Liga,CDM,81,91,11056500,1000,193,81,Right,71,75,79,83,82,94
Daniel González,21,Spain,Barcelona,La Liga,CDM,76,85,10324600,1000,194,94,Right,74,80,71,76,67,91
Victor Willems,32,Belgium,Barcelona,La Liga,CM,78,79,7020000,1000,171,67,Right,69,65,90,87,80,75
Bruno Gómez,24,Argentina,Barcelona,La Liga,CM,86,83,11180000,1000,170,64,Left,88,83,90,96,96,85
Mateo Pérez,33,Spain,Barcelona,La Liga,CM,87,91,6960000,1000,174,72,Right,80,83,98,83,92,96
Thiago López,30,Argentina,Barcelona,La Liga,CAM,87,84,9570000,1000,183,80,Right,87,90,102,95,69,73
Milan Van der Meer,31,Netherlands,Barcelona,La Liga,CAM,81,96,8100000,1000,174,76,Right,78,80,90,89,63,81
Raphaël Dubois,31,France,Barcelona,La Liga,LM,83,85,8300000,1000,183,78,Right,79,90,80,79,66,84
Benicio Rodríguez,28,Argentina,Barcelona,La Liga,RM,82,88,10660000,1000,178,67,Right,77,75,91,82,67,79
William Miller,31,England,Barcelona,La Liga,LW,83,88,8300000,1000,184,84,Right,86,83,78,84,58,75
Liam Janssens,26,Belgium,Barcelona,La Liga,RW,74,69,9620000,1000,182,71,Left,74,84,79,83,56,83
Rodrigo Pereira,32,Portugal,Barcelona,La Liga,CF,86,90,7740000,1000,179,70,Left,81,82,79,81,62,76
Riccardo Ferrari,30,Italy,Barcelona,La Liga,ST,81,89,8910000,1000,191,82,Left,85,95,85,80,66,84
William Williams,22,England,Barcelona,La Liga,ST,88,98,12012000,1000,185,71,Right,101,85,84,92,76,90
George Smith,21,England,Barcelona,La Liga,ST,87,95,11762400,1000,191,91,Right,100,96,94,91,58,92
Thiago García,26,Argentina,Atletico Madrid,La Liga,GK,68,79,8840000,1000,185,84,Right,53,40,61,61,73,61
Martim Rodrigues,34,Portugal,Atletico Madrid,La Liga,GK,80,75,5600000,1000,190,85,Right,61,65,76,74,77,77
Lucas Goossens,23,Belgium,Atletico Madrid,La Liga,CB,76,83,9880000,1000,189,86,Right,71,70,72,70,73,86
Ben Fischer,23,Germany,Atletico Madrid,La Liga,CB,82,80,10660000,1000,195,93,Right,81,64,78,84,78,77
Theo Ferreira,31,Brazil,Atletico Madrid,La Liga,CB,72,72,7200000,1000,191,77,Left,72,60,65,76,74,70
Levi Van der Meer,25,Netherlands,Atletico Madrid,La Liga,CB,77,83,10010000,1000,195,81,Right,75,56,83,81,75,73
Tomás Santos,22,Portugal,Atletico Madrid,La Liga,LB,70,82,9646000,1000,171,61,Left,80,48,66,66,70,74
Tomás Santos,23,Portugal,Atletico Madrid,La Liga,LB,78,83,10140000,1000,174,64,Left,82,66,68,70,88,83
Raphaël Bernard,25,France,Atletico Madrid,La Liga,RB,78,86,10140000,1000,181,74,Left,84,66,75,67,86,86
Thiago Martínez,21,Argentina,Atletico Madrid,La Liga,RB,81,80,10477350,1000,170,60,Left,81,66,83,71,89,77
Mateo Gómez,30,Argentina,Atletico Madrid,La Liga,CDM,68,83,7480000,1000,194,88,Right,70,70,72,68,69,63
Raphaël Petit,28,France,Atletico Madrid,La Liga,CDM,73,85,9490000,1000,192,91,Right,74,78,80,69,72,70
George Miller,32,England,Atletico Madrid,La Liga,CM,71,82,6390000,1000,179,72,Left,70,72,76,81,66,66
Harry Brown,34,England,Atletico Madrid,La Liga,CM,76,84,5320000,1000,173,61,Right,74,81,87,77,69,72
Pablo López,30,Spain,Atletico Madrid,La Liga,CM,67,76,7370000,1000,180,74,Right,64,63,71,66,75,66
Felipe Rodríguez,26,Argentina,Atletico Madrid,La Liga,CAM,83,96,10790000,1000,176,74,Right,81,77,91,91,65,70
Thomas Williams,28,England,Atletico Madrid,La Liga,CAM,73,82,9490000,1000,172,70,Right,80,81,85,84,65,66
Victor Claes,28,Belgium,Atletico Madrid,La Liga,LM,82,90,10660000,1000,175,66,Right,81,87,91,81,65,73
Tomás Silva,32,Portugal,Atletico Madrid,La Liga,RM,72,84,6480000,1000,181,70,Right,80,65,70,78,61,58
Lucas De Vries,25,Netherlands,Atletico Madrid,La Liga,LW,76,82,9880000,1000,179,75,Right,71,91,70,75,64,79
Harry Jones,23,England,Atletico Madrid,La Liga,RW,72,82,9360000,1000,170,61,Right,78,64,63,80,57,80
Arthur Richard,33,France,Atletico Madrid,La Liga,CF,79,89,6320000,1000,191,80,Left,90,89,83,88,63,73
Arthur Alves,26,Brazil,Atletico Madrid,La Liga,ST,74,81,9620000,1000,183,70,Right,83,87,72,89,46,69
Harry Johnson,30,England,Atletico Madrid,La Liga,ST,69,70,7590000,1000,187,74,Right,80,65,74,80,39,62
Lucas De Jong,24,Netherlands,Atletico Madrid,La Liga,ST,73,75,9490000,1000,191,90,Left,85,82,73,80,61,64
Afonso Pereira,29,Portugal,Real Sociedad,La Liga,GK,69,77,8280000,1000,185,81,Right,52,41,57,52,76,64
Raphaël Dubois,27,France,Real Sociedad,La Liga,GK,66,65,8580000,1000,194,92,Right,46,37,70,56,61,56
Harry Miller,22,England,Real Sociedad,La Liga,CB,74,73,9571900,1000,189,85,Right,76,52,65,65,76,76
Dinis Santos,25,Portugal,Real Sociedad,La Liga,CB,65,70,8450000,1000,190,89,Left,70,40,68,70,67,60
Léo Thomas,33,France,Real Sociedad,La Liga,CB,68,72,5440000,1000,192,90,Right,60,63,74,59,67,74
Lucas Van Dijk,29,Netherlands,Real Sociedad,La Liga,CB,77,89,9240000,1000,190,77,Left,81,71,76,82,77,72
Charlie Jones,30,England,Real Sociedad,La Liga,LB,72,79,7920000,1000,181,73,Right,78,56,63,62,84,69
Léo Petit,32,France,Real Sociedad,La Liga,LB,67,66,6030000,1000,178,78,Left,76,58,67,62,82,70
Rodrigo Costa,31,Portugal,Real Sociedad,La Liga,RB,74,79,7400000,1000,176,77,Right,74,49,68,79,69,84
James Williams,27,England,Real Sociedad,La Liga,RB,79,86,10270000,1000,172,61,Right,69,68,72,75,86,85
Juan González,22,Argentina,Real Sociedad,La Liga,CDM,78,84,10444200,1000,186,86,Left,75,63,81,79,74,75
Liam Jacobs,24,Belgium,Real Sociedad,La Liga,CDM,79,85,10270000,1000,183,77,Right,75,64,80,89,81,77
Arthur Dubois,29,France,Real Sociedad,La Liga,CM,70,83,8400000,1000,175,64,Right,64,57,69,68,78,72
Sem Van Dijk,34,Netherlands,Real Sociedad,La Liga,CM,64,76,4480000,1000,178,79,Left,67,69,79,55,64,72
Bruno Rodríguez,31,Argentina,Real Sociedad,La Liga,CM,80,89,8000000,1000,185,82,Right,71,72,76,78,83,92
Martim Silva,27,Portugal,Real Sociedad,La Liga,CAM,70,75,9100000,1000,172,59,Right,72,73,67,72,56,60
Theo Santos,31,Brazil,Real Sociedad,La Liga,CAM,67,62,6700000,1000,185,84,Left,72,65,69,65,62,59
Miguel Ferreira,29,Brazil,Real Sociedad,La Liga,LM,71,68,8520000,1000,184,73,Right,80,79,69,68,52,57
Noah Rodríguez,33,Argentina,Real Sociedad,La Liga,RM,68,64,5440000,1000,184,71,Right,76,60,66,64,49,62
Benicio Rodríguez,29,Argentina,Real Sociedad,La Liga,LW,77,79,9240000,1000,170,72,Right,86,92,80,91,66,70
Miguel Pereira,28,Brazil,Real Sociedad,La Liga,RW,74,87,9620000,1000,176,66,Left,69,83,66,87,50,82
Jonas Meyer,27,Germany,Real Sociedad,La Liga,CF,79,93,10270000,1000,185,76,Left,78,94,70,75,53,78
Jules Willems,24,Belgium,Real Sociedad,La Liga,ST,68,67,8840000,1000,185,80,Right,73,67,69,63,54,76
Max Fischer,28,Germany,Real Sociedad,La Liga,ST,65,73,8450000,1000,183,75,Left,80,61,57,70,41,70
Martim Pereira,29,Portugal,Real Sociedad,La Liga,ST,73,81,8760000,1000,183,74,Left,82,88,64,83,50,63
Lorenzo Ricci,32,Italy,Sevilla,La Liga,GK,70,72,6300000,1000,200,95,Right,57,46,67,55,60,71
William Davis,23,England,Sevilla,La Liga,GK,67,66,8710000,1000,194,93,Left,53,38,52,53,63,66
Finn Weber,32,Germany,Sevilla,La Liga,CB,69,74,6210000,1000,191,83,Left,65,44,64,62,67,64
Noah Schmidt,26,Germany,Sevilla,La Liga,CB,70,74,9100000,1000,190,83,Right,71,50,76,74,78,67
Lucas González,33,Spain,Sevilla,La Liga,CB,70,71,5600000,1000,191,88,Right,71,55,79,68,85,72
Jack Jones,33,England,Sevilla,La Liga,CB,68,73,5440000,1000,186,73,Right,66,47,74,71,78,69
Pablo Rodríguez,23,Spain,Sevilla,La Liga,LB,80,87,10400000,1000,181,82,Right,84,60,80,76,91,90
Tomás Oliveira,30,Portugal,Sevilla,La Liga,LB,76,91,8360000,1000,171,64,Left,72,65,73,73,77,80
Benicio Gómez,34,Argentina,Sevilla,La Liga,RB,75,78,5250000,1000,172,63,Left,74,64,81,71,77,71
Martim Martins,28,Portugal,Sevilla,La Liga,RB,78,86,10140000,1000,183,80,Right,78,61,80,63,78,87
Mattia Russo,26,Italy,Sevilla,La Liga,CDM,66,70,8580000,1000,191,78,Right,63,54,64,58,67,62
Levi Jansen,24,Netherlands,Sevilla,La Liga,CDM,74,77,9620000,1000,187,81,Left,68,76,77,64,73,78
Pedro Alves,34,Brazil,Sevilla,La Liga,CM,64,74,4480000,1000,174,73,Left,61,55,74,61,70,77
Noud Van der Meer,26,Netherlands,Sevilla,La Liga,CM,66,71,8580000,1000,176,76,Right,69,57,75,70,73,61
Gael Oliveira,25,Brazil,Sevilla,La Liga,CM,64,74,8320000,1000,181,77,Left,67,62,71,71,63,69
Arthur Peeters,23,Belgium,Sevilla,La Liga,CAM,68,73,8840000,1000,182,80,Left,75,60,80,75,54,68
Daniel Pérez,31,Spain,Sevilla,La Liga,CAM,73,70,7300000,1000,175,65,Right,73,64,87,83,53,63
Francesco Colombo,25,Italy,Sevilla,La Liga,LM,70,72,9100000,1000,179,68,Right,66,71,81,65,55,65
Benicio Gómez,22,Argentina,Sevilla,La Liga,RM,68,80,9370400,1000,183,84,Right,65,70,69,67,54,62
Thiago Gómez,29,Argentina,Sevilla,La Liga,LW,73,86,8760000,1000,176,77,Right,74,63,67,82,45,75
Louis Willems,29,Belgium,Sevilla,La Liga,RW,79,88,9480000,1000,184,71,Right,76,78,89,88,60,78
Juan Pérez,24,Argentina,Sevilla,La Liga,CF,69,83,8970000,1000,189,88,Right,76,80,64,82,42,71
Jack Williams,24,England,Sevilla,La Liga,ST,73,70,9490000,1000,189,81,Right,81,87,80,71,54,65
Daniel Sánchez,27,Spain,Sevilla,La Liga,ST,69,72,8970000,1000,181,68,Right,64,61,79,78,51,69
Felipe Pérez,20,Argentina,Sevilla,La Liga,ST,64,67,7795200,1000,179,70,Right,73,69,68,61,36,71
Riccardo Ferrari,30,Italy,Villarreal,La Liga,GK,68,68,7480000,1000,190,76,Right,46,43,62,51,75,70
Paul Müller,33,Germany,Villarreal,La Liga,GK,68,67,5440000,1000,199,95,Left,49,39,70,54,72,59
Daan Smit,32,Netherlands,Villarreal,La Liga,CB,69,78,6210000,1000,183,69,Left,71,50,66,65,71,70
Hugo Sánchez,21,Spain,Villarreal,La Liga,CB,60,65,7994999,1000,186,74,Left,53,40,55,46,68,58
Davi Souza,30,Brazil,Villarreal,La Liga,CB,66,78,7260000,1000,189,88,Left,63,47,59,62,71,66
Thomas Davis,21,England,Villarreal,La Liga,CB,72,73,9406799,1000,190,83,Left,70,67,81,68,68,69
Gabriele Bianchi,33,Italy,Villarreal,La Liga,LB,75,73,6000000,1000,175,70,Left,84,60,85,72,74,80
Felix Becker,22,Germany,Villarreal,La Liga,LB,70,65,8872500,1000,184,82,Right,80,52,76,73,65,72
William Jones,24,England,Villarreal,La Liga,RB,73,75,9490000,1000,172,60,Left,74,63,72,64,72,80
Leonardo Esposito,32,Italy,Villarreal,La Liga,RB,74,79,6660000,1000,174,69,Right,84,50,80,72,89,78
Jack Davis,26,England,Villarreal,La Liga,CDM,67,68,8710000,1000,191,77,Right,64,59,81,69,73,72
Elias Müller,22,Germany,Villarreal,La Liga,CDM,75,72,9603750,1000,186,73,Right,69,66,74,67,70,88
Levi Van Dijk,29,Netherlands,Villarreal,La Liga,CM,62,70,7440000,1000,184,79,Left,58,54,70,57,71,64
Lucas Durand,31,France,Villarreal,La Liga,CM,66,69,6600000,1000,185,73,Right,68,63,66,71,70,74
James Van den Berg,34,Netherlands,Villarreal,La Liga,CM,75,70,5250000,1000,182,81,Left,74,79,87,69,82,75
Adam Durand,25,France,Villarreal,La Liga,CAM,74,78,9620000,1000,182,83,Left,79,68,84,75,58,65
James Davis,28,England,Villarreal,La Liga,CAM,72,80,9360000,1000,182,79,Right,82,71,87,85,54,70
William Miller,30,England,Villarreal,La Liga,LM,65,66,7150000,1000,183,77,Right,71,71,75,80,56,51
Benicio Fernández,24,Argentina,Villarreal,La Liga,RM,75,71,9750000,1000,181,67,Right,74,73,89,84,59,68
Alessandro Rossi,21,Italy,Villarreal,La Liga,LW,62,77,8664500,1000,182,80,Right,75,54,68,63,45,57
Bruno López,28,Argentina,Villarreal,La Liga,RW,72,85,9360000,1000,179,79,Right,69,65,82,85,53,66
Louis Petit,32,France,Villarreal,La Liga,CF,69,64,6210000,1000,180,82,Left,67,61,72,80,52,79
Adam Dubois,22,France,Villarreal,La Liga,ST,71,71,9230000,1000,189,79,Left,81,66,77,69,55,79
Alessandro Esposito,20,Italy,Villarreal,La Liga,ST,65,66,7839000,1000,182,81,Right,80,74,58,80,40,57
Léo Petit,21,France,Villarreal,La Liga,ST,68,65,8707400,1000,183,69,Right,70,73,73,66,38,59
Gabriel Martin,24,France,Real Betis,La Liga,GK,66,77,8580000,1000,185,83,Right,49,51,66,56,75,69
Davi Ferreira,28,Brazil,Real Betis,La Liga,GK,67,73,8710000,1000,197,94,Right,43,48,62,50,57,71
Juan González,30,Argentina,Real Betis,La Liga,CB,63,74,6930000,1000,187,80,Right,67,57,68,64,71,64
George Smith,31,England,Real Betis,La Liga,CB,71,67,7100000,1000,195,90,Right,75,53,80,71,78,68
Pedro Pereira,31,Brazil,Real Betis,La Liga,CB,63,70,6300000,1000,187,79,Right,57,54,71,64,59,62
Lourenço Oliveira,34,Portugal,Real Betis,La Liga,CB,74,74,5180000,1000,190,79,Right,81,56,71,65,74,71
Alejandro García,23,Spain,Real Betis,La Liga,LB,70,77,9100000,1000,178,72,Right,68,60,63,59,82,80
Daniel Fernández,30,Spain,Real Betis,La Liga,LB,62,77,6820000,1000,180,79,Right,64,57,72,64,70,64
Mattia Russo,25,Italy,Real Betis,La Liga,RB,62,60,8060000,1000,172,69,Right,70,43,55,65,68,61
Pedro Silva,25,Brazil,Real Betis,La Liga,RB,61,74,7930000,1000,176,75,Right,61,47,55,62,75,63
Alejandro García,29,Spain,Real Betis,La Liga,CDM,74,79,8880000,1000,185,80,Left,79,73,73,83,73,73
George Jones,29,England,Real Betis,La Liga,CDM,63,66,7560000,1000,194,94,Right,59,63,67,65,54,68
Finn Fischer,32,Germany,Real Betis,La Liga,CM,61,61,5490000,1000,185,83,Right,56,46,73,63,61,69
Martim Martins,27,Portugal,Real Betis,La Liga,CM,62,73,8060000,1000,179,75,Right,58,64,69,55,56,67
Arthur Mertens,28,Belgium,Real Betis,La Liga,CM,65,78,8450000,1000,174,75,Right,70,59,64,61,61,66
George Johnson,31,England,Real Betis,La Liga,CAM,64,71,6400000,1000,183,74,Left,62,65,74,64,45,52
Milan Smit,23,Netherlands,Real Betis,La Liga,CAM,72,74,9360000,1000,171,61,Left,79,77,76,86,57,77
Bautista García,34,Argentina,Real Betis,La Liga,LM,72,75,5040000,1000,184,81,Left,70,65,69,70,67,77
Levi De Jong,30,Netherlands,Real Betis,La Liga,RM,75,78,8250000,1000,173,65,Right,85,85,83,79,59,63
Arthur Oliveira,26,Brazil,Real Betis,La Liga,LW,60,67,7800000,1000,185,73,Right,73,67,70,58,36,53
Ben Müller,28,Germany,Real Betis,La Liga,RW,74,79,9620000,1000,173,61,Left,87,70,84,74,46,81
Gabriel Bernard,22,France,Real Betis,La Liga,CF,76,80,10077600,1000,183,74,Right,71,73,75,72,62,75
